,Tên phim,Năm sản xuất,Thời gian xem,Đánh giá
0,Nhà tù Shawshank,(1994),142 min,9.3
1,Bố Già,(1972),175 min,9.2
2,Kantara,(2022),148 min,9.1
3,Kỵ Sĩ Bóng Đêm,(2008),152 min,9.0
4,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,(2003),201 min,9.0
5,Bản Danh Sách Của Schindler,(1993),195 min,9.0
6,Bố Già Phần II,(1974),202 min,9.0
7,12 Angry Men,(1957),96 min,9.0
8,Jai Bhim,(2021),164 min,8.9
9,Chuyện Tào Lao,(1994),154 min,8.9
10,Rocketry: The Nambi Effect,(2022),157 min,8.8
11,Kẻ Đánh Cắp Giấc Mơ,(2010),148 min,8.8
12,Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,(2002),179 min,8.8
13,Sàn Đấu Sinh Tử,(1999),139 min,8.8
14,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,(2001),178 min,8.8
15,Cuộc Đời Forrest Gump,(1994),142 min,8.8
16,"Thiện, Ác, Tà",(1966),161 min,8.8
17,Soorarai Pottru,(2020),153 min,8.7
18,Ma Trận,(1999),136 min,8.7
19,Chiến Hữu,(1990),145 min,8.7
20,Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,(1980),124 min,8.7
21,Bay Trên Tổ Chim Cúc Cu,(1975),133 min,8.7
22,Hố Đen Tử Thần,(2014),169 min,8.6
23,Thành Phố Của Chúa,(2002),130 min,8.6
24,Vùng Đất Linh Hồn,(2001),125 min,8.6
25,Giải Cứu Binh Nhì Ryan,(1998),169 min,8.6
26,Dặm Xanh,(1999),189 min,8.6
27,Cuộc Sống Tươi Đẹp,(1997),116 min,8.6
28,7 Tội Lỗi Chết Người,(1995),127 min,8.6
29,Kẻ Hủy Diệt 2: Ngày Phán Xét,(1991),137 min,8.6
30,Sự Im Lặng Của Bầy Cừu,(1991),118 min,8.6
31,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,(1977),121 min,8.6
32,Seppuku,(1962),133 min,8.6
33,Bảy Võ Sĩ Đạo,(1954),207 min,8.6
34,Cuộc Sống Tươi Đẹp,(1946),130 min,8.6
35,Kaithi,(2019),145 min,8.5
36,Asuran,(2019),141 min,8.5
37,96,(II) (2018),158 min,8.5
38,Ký Sinh Trùng,(2019),132 min,8.5
39,Tay Trống Cự Phách,(2014),106 min,8.5
40,Sita Ramam,(2022),163 min,8.5
41,Những Kẻ Bên Lề,(2011),112 min,8.5
42,Ảo Thuật Gia Đấu Trí,(2006),130 min,8.5
43,Điệp Vụ Boston,(2006),151 min,8.5
44,Nghệ Sĩ Dương Cầm,(2002),150 min,8.5
45,Võ Sĩ Giác Đấu,(2000),155 min,8.5
46,Lịch Sử Mĩ Thế Kỉ X,(1998),119 min,8.5
47,Nghi Phạm Vô Hình,(1995),106 min,8.5
48,Léon: Sát Thủ Chuyên Nghiệp,(1994),110 min,8.5
49,Vua Sư Tử,(1994),88 min,8.5
50,Rạp Chiếu Bóng Thiên Đường,(1988),155 min,8.5
51,Mộ Đom Đóm,(1988),89 min,8.5
52,Trở Về Tương Lai,(1985),116 min,8.5
53,Lời Sấm Truyền,(1979),147 min,8.5
54,Quái Vật Không Gian,(1979),117 min,8.5
55,Thưở Ấy Miền Viễn Tây,(1968),165 min,8.5
56,Tâm Thần Hoảng Loạn,(1960),109 min,8.5
57,Rear Window,(1954),112 min,8.5
58,Chuyện Tình Thế Chiến,(1942),102 min,8.5
59,Thời Hiện Đại,(1936),87 min,8.5
60,Ánh Sáng Đô Thị,(1931),87 min,8.5
61,Vikram,(2022),175 min,8.4
62,Anh Hùng Hamilton,(2020),160 min,8.4
63,Capharnaüm,(2018),126 min,8.4
64,Joker,(I) (2019),122 min,8.4
65,Tên Cậu Là Gì?,(2016),106 min,8.4
66,Người Nhện: Vũ Trụ Mới,(2018),117 min,8.4
67,Avengers: Hồi Kết,(2019),181 min,8.4
68,Avengers: Cuộc Chiến Vô Cực,(2018),149 min,8.4
69,Coco: Hội Ngộ Diệu Kỳ,(I) (2017),105 min,8.4
